,OrderID,OrderDate,RequiredDate,ItemCount,OrderTotal,WeightedDiscount,CustomerId,CustomerCompany,CustomerCity,CustomerRegion,CustomerCountry,ShipCity,ShipRegion,ShipCountry,EmployeeId,EmployeeHireDate,EmployeeCity,EmployeeRegion,EmployeeCountry,EmployeeSuper,Discount,OrderTotalLog,ItemCountLog,OrderTotalSqrt,ItemCountSqrt,OrderTotalCbrt,ItemCountCbrt,OrderTotal4rt,ItemCount4rt
0,10248,2012-07-04,2012-08-01,27,440.0,0.0,VINET,Vins et alcools Chevalier,Reims,Western Europe,France,Reims,Western Europe,France,5,2025-10-17,London,British Isles,UK,2.0,0.0,6.0867747269123065,3.295836866004329,20.97617696340303,5.196152422706632,7.605904921522782,3.0,4.579975650961807,2.2795070569547775
1,10249,2012-07-05,2012-08-16,49,1863.4,0.0,TOMSP,Toms Spezialitäten,Münster,Western Europe,Germany,Münster,Western Europe,Germany,6,2025-10-17,London,British Isles,UK,5.0,0.0,7.530158055016325,3.8918202981106265,43.16711711476688,7.0,12.305578362895362,3.6593057100229713,6.570168728028747,2.6457513110645907
2,10250,2012-07-08,2012-08-05,60,1552.6,0.125,HANAR,Hanari Carnes,Rio de Janeiro,South America,Brazil,Rio de Janeiro,South America,Brazil,4,2025-05-03,Redmond,North America,USA,2.0,0.1,7.34768622397158,4.0943445622221,39.403045567570025,7.745966692414834,11.57941255199393,3.9148676411688634,6.277184525531333,2.7831576837137404
3,10251,2012-07-08,2012-08-05,41,654.06,0.025609756097560978,VICTE,Victuailles en stock,Lyon,Western Europe,France,Lyon,Western Europe,France,3,2024-04-01,Kirkland,North America,USA,2.0,0.05,6.483199090368322,3.713572066704308,25.574596771014786,6.4031242374328485,8.68038917464802,3.4482172403827303,5.05713325620502,2.530439534435243
4,10252,2012-07-09,2012-08-06,105,3597.9,0.030952380952380953,SUPRD,Suprêmes délices,Charleroi,Western Europe,Belgium,Charleroi,Western Europe,Belgium,4,2025-05-03,Redmond,North America,USA,2.0,0.05,8.188105620905786,4.653960350157523,59.98249744717204,10.246950765959598,15.323207975983733,4.7176939803165325,7.744836825083666,3.2010858729436795
5,10253,2012-07-10,2012-07-24,102,1444.8000000000002,0.0,HANAR,Hanari Carnes,Rio de Janeiro,South America,Brazil,Rio de Janeiro,South America,Brazil,3,2024-04-01,Kirkland,North America,USA,2.0,0.0,7.275726182662721,4.624972813284271,38.01052485825472,10.099504938362077,11.30496557810953,4.672328728355259,6.165267622597962,3.1779718278112656
6,10254,2012-07-11,2012-08-08,57,556.6199999999999,0.09473684210526316,CHOPS,Chop-suey Chinese,Bern,Western Europe,Switzerland,Bern,Western Europe,Switzerland,5,2025-10-17,London,British Isles,UK,2.0,0.1,6.321882780893235,4.04305126783455,23.592795510494298,7.54983443527075,8.225953856296153,3.8485011312768047,4.857241553648974,2.7476962050544724
7,10255,2012-07-12,2012-08-09,110,2490.5,0.0,RICSU,Richter Supermarkt,Genève,Western Europe,Switzerland,Genève,Western Europe,Switzerland,9,2026-11-15,London,British Isles,UK,5.0,0.0,7.820238772513338,4.700480365792417,49.90490957811666,10.488088481701515,13.554874949653813,4.791419857062784,7.064340703711611,3.238531840464366
8,10256,2012-07-15,2012-08-12,27,517.8,0.0,WELLI,Wellington Importadora,Resende,South America,Brazil,Resende,South America,Brazil,3,2024-04-01,Kirkland,North America,USA,2.0,0.0,6.249589067317437,3.295836866004329,22.755219181541626,5.196152422706632,8.030094977906574,3.0,4.7702430945960845,2.2795070569547775
9,10257,2012-07-16,2012-08-13,46,1119.9,0.0,HILAA,HILARION-Abastos,San Cristóbal,South America,Venezuela,San Cristóbal,South America,Venezuela,4,2025-05-03,Redmond,North America,USA,2.0,0.0,7.020994674588648,3.828641396489095,33.46490699225085,6.782329983125268,10.384679117473157,3.583047871015946,5.784886082910437,2.604290687140218
10,10258,2012-07-17,2012-08-14,121,1614.88,0.19999999999999998,ERNSH,Ernst Handel,Graz,Western Europe,Austria,Graz,Western Europe,Austria,1,2024-05-01,Seattle,North America,USA,2.0,0.2,7.387015929490549,4.795790545596741,40.185569549279755,11.0,11.732216950716719,4.9460874432487,6.339208905634815,3.3166247903554
11,10259,2012-07-18,2012-08-15,11,100.8,0.0,CENTC,Centro comercial Moctezuma,México D.F.,Central America,Mexico,México D.F.,Central America,Mexico,4,2025-05-03,Redmond,North America,USA,2.0,0.0,4.613138355637268,2.3978952727983707,10.039920318408907,3.3166247903554,4.6539335429011235,2.2239800905693152,3.168583329882442,1.8211602868378718
12,10260,2012-07-19,2012-08-16,102,1504.65,0.12745098039215685,OTTIK,Ottilies Käseladen,Köln,Western Europe,Germany,Köln,Western Europe,Germany,4,2025-05-03,Redmond,North America,USA,2.0,0.15,7.316315591997604,4.624972813284271,38.78981825170105,10.099504938362077,11.458958937376057,4.672328728355259,6.228147256745063,3.1779718278112656
13,10261,2012-07-19,2012-08-16,40,448.0,0.0,QUEDE,Que Delícia,Rio de Janeiro,South America,Brazil,Rio de Janeiro,South America,Brazil,4,2025-05-03,Redmond,North America,USA,2.0,0.0,6.104793232414985,3.6888794541139363,21.166010488516726,6.324555320336759,7.651724731089556,3.4199518933533937,4.600653267582412,2.514866859365871
14,10262,2012-07-22,2012-08-19,29,584.0,0.08275862068965519,RATTC,Rattlesnake Canyon Grocery,Albuquerque,North America,USA,Albuquerque,North America,USA,8,2026-03-05,Seattle,North America,USA,2.0,0.1,6.369900982828227,3.367295829986474,24.166091947189145,5.385164807134504,8.358678392762462,3.072316825685847,4.915901946457958,2.320595787106084
15,10263,2012-07-23,2012-08-20,184,1873.8,0.21195652173913043,ERNSH,Ernst Handel,Graz,Western Europe,Austria,Graz,Western Europe,Austria,9,2026-11-15,London,British Isles,UK,5.0,0.2,7.535723733517088,5.214935757608986,43.287411565026616,13.564659966250536,12.328429184039848,5.68773395970313,6.579316952771512,3.683023210115643
16,10264,2012-07-24,2012-08-21,60,695.625,0.0625,FOLKO,Folk och fä HB,Bräcke,Northern Europe,Sweden,Bräcke,Northern Europe,Sweden,6,2025-10-17,London,British Isles,UK,5.0,0.05,6.544810722029809,4.0943445622221,26.374703789805867,7.745966692414834,8.86050334551875,3.9148676411688634,5.13563080738928,2.7831576837137404
